日期,代码,名称,当前价,涨幅(%),建议止损价,FVG,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-25,600989,宝丰能源,18.66,-0.05,17.97,bull,0.29,11.47,1368.4,1368.4,15.54
2025-12-25,600990,四创电子,33.49,2.26,29.98,bull,18.2,-75.48,90.78,90.09,57.38
2025-12-25,601068,中铝国际,5.87,-1.84,5.45,bull,1.81,110.65,175.39,150.25,33.11
2025-12-25,601126,四方股份,33.05,6.34,28.87,bull,5.13,29.34,275.37,272.69,103.51
2025-12-25,601138,工业富联,66.72,2.43,60.54,bull,1.02,44.19,13249.38,13249.38,219.85
2025-12-25,601208,东材科技,29.46,1.48,26.23,bull,12.67,79.5,299.94,299.94,295.97
2025-12-25,601233,桐昆股份,16.86,3.12,15.5,bull,1.38,19.64,405.45,403.95,44.1
2025-12-25,601279,英利汽车,5.36,-2.72,4.88,bull,5.02,-118.99,85.0,85.0,40.31
2025-12-25,601555,东吴证券,9.07,0.0,8.82,bull,0.8,11.52,450.66,450.66,22.07
2025-12-25,601696,中银证券,14.85,-1.0,14.11,bull,3.55,36.23,412.53,412.53,33.54
2025-12-25,601800,中国交建,8.37,0.0,8.22,bull,0.13,7.49,1362.19,985.86,-17.54
2025-12-25,601890,亚星锚链,10.31,0.39,9.63,bull,3.06,35.11,98.91,98.91,34.77
2025-12-25,603002,宏昌电子,7.59,-1.43,7.2,bull,2.68,263.33,86.08,86.08,41.87
2025-12-25,603004,鼎龙科技,23.79,2.76,21.93,bull,9.61,34.31,56.03,14.01,16.62
2025-12-25,603015,弘讯科技,12.89,1.34,11.95,bull,2.77,121.93,52.1,52.1,32.61
2025-12-25,603031,安孚科技,48.5,-2.73,43.64,bull,9.74,53.77,125.05,102.39,71.02
2025-12-25,603040,新坐标,85.9,7.59,74.54,bull,2.46,42.02,117.24,116.63,296.4
2025-12-25,603045,福达合金,19.84,1.54,18.59,bull,1.56,36.31,26.87,26.87,56.47
2025-12-25,603050,科林电气,17.91,0.67,16.94,bull,0.63,24.93,72.23,72.23,29.69
2025-12-25,603058,永吉股份,9.82,1.24,9.05,bull,3.34,30.92,40.72,40.62,12.74
2025-12-25,603067,振华股份,31.14,-0.29,27.23,bull,3.89,40.53,221.33,221.33,249.49
2025-12-25,603066,音飞储存,10.93,1.02,10.5,bull,0.62,38.64,32.15,32.15,3.31
