日期,回测,代码,当前价,涨幅(%),综合得分,信号强度,动能衰减,资金承接,结构间隔,破位幅度,左波峰,右波峰
2025-12-01,,002858,15.03,3.23,60,谨慎做多,【1.2–1.5】1.29 → 下跌开始衰竭,【≥2.0】3.15 → 强力吸筹,【>25】29 → 结构偏老,【2–5%】3.96% → 正常破位,"{'日期': '2025-10-20', '价格': 14.64, '动能值': -1.0021, 'obv': 234154186}","{'日期': '2025-11-28', '价格': 14.06, '动能值': -0.7794, 'obv': 256876814}"
2025-12-01,,002921,15.71,-0.82,40,谨慎做多,【1.2–1.5】1.25 → 下跌开始衰竭,【-0.5–0.5】-0.36 → 资金观望,【>25】54 → 结构偏老,【2–5%】2.94% → 正常破位,"{'日期': '2025-09-05', '价格': 15.65, '动能值': -1.5872, 'obv': 44257784}","{'日期': '2025-11-28', '价格': 15.19, '动能值': -1.2686, 'obv': 42479697}"
2025-12-01,,002933,33.66,1.45,50,谨慎做多,【≥2.0】4.21 → 恐慌充分释放,【<-0.5】-3.45 → 资金流出,【>25】48 → 结构偏老,【2–5%】2.78% → 正常破位,"{'日期': '2025-09-15', '价格': 33.51, '动能值': -3.296, 'obv': 259847256}","{'日期': '2025-11-28', '价格': 32.58, '动能值': -0.7832, 'obv': 252530003}"
2025-12-01,,002958,3.21,2.23,90,强烈做多,【≥2.0】2.08 → 恐慌充分释放,【≥2.0】2.2 → 强力吸筹,【>25】44 → 结构偏老,【0–2%】0.0% → 诱空假破位,"{'日期': '2025-09-19', '价格': 3.13, '动能值': -0.1735, 'obv': 2037358282}","{'日期': '2025-11-28', '价格': 3.13, '动能值': -0.0832, 'obv': 2155500143}"
2025-12-01,,002965,37.42,1.63,50,谨慎做多,【≥2.0】5.08 → 恐慌充分释放,【<-0.5】-2.64 → 资金流出,【15–25】24 → 结构健康（理想）,【>5%】7.48% → 深度破位（风险）,"{'日期': '2025-10-27', '价格': 39.05, '动能值': -6.1168, 'obv': 572927348}","{'日期': '2025-11-28', '价格': 36.13, '动能值': -1.2049, 'obv': 552899056}"
2025-12-01,,003028,30.55,0.0,70,谨慎做多,【1.2–1.5】1.32 → 下跌开始衰竭,【≥2.0】2.12 → 强力吸筹,【>25】28 → 结构偏老,【0–2%】1.47% → 诱空假破位,"{'日期': '2025-10-21', '价格': 30.65, '动能值': -1.6743, 'obv': 31429494}","{'日期': '2025-11-28', '价格': 30.2, '动能值': -1.2637, 'obv': 33739874}"
2025-12-01,,600010,2.49,2.47,50,谨慎做多,【1.2–1.5】1.42 → 下跌开始衰竭,【-0.5–0.5】-0.13 → 资金观望,【>25】44 → 结构偏老,【0–2%】0.0% → 诱空假破位,"{'日期': '2025-09-19', '价格': 2.38, '动能值': -0.3055, 'obv': 8515454316}","{'日期': '2025-11-28', '价格': 2.38, '动能值': -0.2147, 'obv': 8368229756}"
2025-12-01,,600061,7.39,0.96,40,谨慎做多,【1.5–2.0】1.86 → 下跌明显衰竭,【<-0.5】-1.28 → 资金流出,【>25】44 → 结构偏老,【2–5%】3.2% → 正常破位,"{'日期': '2025-09-19', '价格': 7.51, '动能值': -0.706, 'obv': 1289846897}","{'日期': '2025-11-28', '价格': 7.27, '动能值': -0.3802, 'obv': 1222542851}"
2025-12-01,,600071,21.55,2.23,60,谨慎做多,【≥2.0】3.95 → 恐慌充分释放,【<-0.5】-2.42 → 资金流出,【15–25】24 → 结构健康（理想）,【>5%】5.79% → 深度破位（风险）,"{'日期': '2025-10-27', '价格': 21.92, '动能值': -2.145, 'obv': 291280664}","{'日期': '2025-11-28', '价格': 20.65, '动能值': -0.5437, 'obv': 281676038}"
2025-12-01,,600128,10.95,2.24,70,谨慎做多,【1.2–1.5】1.46 → 下跌开始衰竭,【≥2.0】12.15 → 强力吸筹,【>25】76 → 结构偏老,【0–2%】1.8% → 诱空假破位,"{'日期': '2025-08-06', '价格': 10.54, '动能值': -0.7654, 'obv': 973892477}","{'日期': '2025-11-28', '价格': 10.35, '动能值': -0.5243, 'obv': 1058680815}"
2025-12-01,,600136,1.82,0.55,70,谨慎做多,【1.2–1.5】1.22 → 下跌开始衰竭,【≥2.0】3.98 → 强力吸筹,【>25】33 → 结构偏老,【0–2%】0.0% → 诱空假破位,"{'日期': '2025-10-14', '价格': 1.78, '动能值': -0.096, 'obv': -401854068}","{'日期': '2025-11-28', '价格': 1.78, '动能值': -0.0784, 'obv': -323507515}"
2025-12-01,,600148,19.85,0.15,80,强烈做多,【≥2.0】2.16 → 恐慌充分释放,【≥2.0】3.95 → 强力吸筹,【>25】52 → 结构偏老,【2–5%】3.55% → 正常破位,"{'日期': '2025-09-09', '价格': 20.01, '动能值': -1.8167, 'obv': 156412405}","{'日期': '2025-11-28', '价格': 19.3, '动能值': -0.8392, 'obv': 164815065}"
2025-12-01,,600196,27.33,0.74,50,谨慎做多,【≥2.0】2.38 → 恐慌充分释放,【<-0.5】-0.84 → 资金流出,【>25】30 → 结构偏老,【>5%】5.66% → 深度破位（风险）,"{'日期': '2025-10-17', '价格': 28.63, '动能值': -2.4134, 'obv': 533268501}","{'日期': '2025-11-28', '价格': 27.01, '动能值': -1.0131, 'obv': 517333794}"
2025-12-01,,600281,6.01,1.52,80,强烈做多,【≥2.0】2.4 → 恐慌充分释放,【≥2.0】9.06 → 强力吸筹,【>25】40 → 结构偏老,【2–5%】3.07% → 正常破位,"{'日期': '2025-09-25', '价格': 5.87, '动能值': -0.6392, 'obv': 1078918810}","{'日期': '2025-11-28', '价格': 5.69, '动能值': -0.2669, 'obv': 1183641132}"
2025-12-01,,600318,8.68,0.23,20,谨慎做多,【1.2–1.5】1.4 → 下跌开始衰竭,【<-0.5】-0.96 → 资金流出,【>25】41 → 结构偏老,【>5%】9.74% → 深度破位（风险）,"{'日期': '2025-09-24', '价格': 9.45, '动能值': -0.8654, 'obv': 3633875297}","{'日期': '2025-11-28', '价格': 8.53, '动能值': -0.6183, 'obv': 3619648389}"
2025-12-01,,600552,11.41,1.51,70,谨慎做多,【1.5–2.0】1.74 → 下跌明显衰竭,【0.5–2.0】0.5 → 资金承接,【>25】26 → 结构偏老,【0–2%】1.32% → 诱空假破位,"{'日期': '2025-10-23', '价格': 11.33, '动能值': -1.3413, 'obv': 939848779}","{'日期': '2025-11-28', '价格': 11.18, '动能值': -0.7704, 'obv': 947086036}"
2025-12-01,,600638,5.89,0.51,70,谨慎做多,【1.2–1.5】1.39 → 下跌开始衰竭,【≥2.0】3.08 → 强力吸筹,【>25】50 → 结构偏老,【0–2%】0.35% → 诱空假破位,"{'日期': '2025-09-11', '价格': 5.73, '动能值': -0.3038, 'obv': 396731307}","{'日期': '2025-11-28', '价格': 5.71, '动能值': -0.2179, 'obv': 445955067}"
2025-12-01,,600707,5.66,1.62,20,谨慎做多,【1.2–1.5】1.4 → 下跌开始衰竭,【<-0.5】-10.09 → 资金流出,【>25】47 → 结构偏老,【>5%】9.97% → 深度破位（风险）,"{'日期': '2025-09-16', '价格': 6.12, '动能值': -0.3376, 'obv': 1285342587}","{'日期': '2025-11-28', '价格': 5.51, '动能值': -0.2411, 'obv': 1079095126}"
2025-12-01,,600816,2.94,1.38,50,谨慎做多,【≥2.0】4.02 → 恐慌充分释放,【<-0.5】-0.59 → 资金流出,【>25】27 → 结构偏老,【2–5%】4.05% → 正常破位,"{'日期': '2025-10-22', '价格': 2.96, '动能值': -0.3797, 'obv': 694368755}","{'日期': '2025-11-28', '价格': 2.84, '动能值': -0.0945, 'obv': 661298623}"
